147	104	75	147	104	75
139	100	78	139	100	78
126	88	66	126	88	66
117	76	56	117	76	56
47	21	16	47	21	16
65	33	25	65	33	25
31	16	12	31	16	12
222	181	121	222	181	121
71	34	29	71	34	29
101	57	43	101	57	43
109	55	43	109	55	43
42	19	16	42	19	16
23	16	12	23	16	12
71	36	28	71	36	28
23	14	12	23	14	12
146	102	77	146	102	77
101	47	38	101	47	38
153	100	68	153	100	68
22	14	10	22	14	10
33	15	13	33	15	13
97	41	35	97	41	35
86	44	36	86	44	36
99	50	37	99	50	37
41	20	16	41	20	16
67	33	28	67	33	28
42	16	13	42	16	13
219	175	119	219	175	119
104	81	57	104	81	57
96	50	37	96	50	37
54	21	17	54	21	17
173	152	108	173	152	108
111	55	41	111	55	41
90	39	29	90	39	29
78	49	39	78	49	39
38	22	17	38	22	17
144	87	62	144	87	62
166	146	106	166	146	106
142	107	70	142	107	70
142	114	84	142	114	84
86	40	33	86	40	33
98	44	33	98	44	33
154	98	74	154	98	74
43	18	14	43	18	14
48	22	18	48	22	18
106	52	39	106	52	39
134	92	74	134	92	74
61	32	22	61	32	22
41	16	14	41	16	14
156	102	71	156	102	71
89	44	33	89	44	33
100	58	43	100	58	43
148	127	102	148	127	102
121	77	54	121	77	54
109	52	42	109	52	42
88	44	35	88	44	35
34	17	13	34	17	13
28	16	12	28	16	12
87	44	35	87	44	35
99	44	36	99	44	36
110	55	41	110	55	41
113	50	41	113	50	41
36	20	14	36	20	14
